     ILs                Predicted(Tm)   Exp(Tm)
    NIST1                   293.4      293.1
    NIST2                   277.1      300.1
    NIST3                   280.4      289.9
    NIST4                   420.5      445.8
    NIST5                   346.1      352.2
    NIST6                   294.3      291.2
    NIST7                   348.6      309.2
    NIST8                   366.9      405.5
    NIST9                   313.1      307.1
    NIST10                  277.2      253.6
    NIST11                  348.6      350.3
    NIST12                  323.1      324.9
    NIST13                  405.7      354.8
    NIST14                  364.6      359.8
    NIST15                  322.4      251.6
    NIST16                  285.0      294.9
    NIST17                  287.4      288.1
    NIST18                  293.4      289.1
    NIST19                  303.0      305.3
    NIST20                  389.8      378.2
    NIST21                  368.9      374.2
    NIST22                  266.8      266.8
    NIST23                  261.8      256.1
    NIST24                  270.9      262.8
    NIST25                  338.5      328.3
    NIST26                  276.4      266.1
    NIST27                  281.2      275.0
    NIST28                  306.0      313.0
    NIST29                  393.5      376.2
    NIST30                  260.6      259.2
    NIST31                  281.5      284.2
    NIST32                  351.8      348.0
    NIST33                  300.1      290.2
    NIST34                  353.9      349.3
    NIST35                  324.5      303.2
    NIST36                  364.5      354.2
    NIST37                  350.3      304.0
    NIST38                  374.1      366.0
    NIST39                  318.0      328.2
